source_account_code,source_account_name,source_report,source_nature,observed_balance,observed_ytd_debit,observed_ytd_credit,observed_actual,observed_budget,cost_center_present,base_classification,proposed_reporting_account_code,proposed_reporting_account_name,financial_statement,confidence,manual_review_required,mapping_reason,mapping_status
# ============================================================
# ALF-CONTEC-MAPPING-PROPOSAL-v2.csv
# Allegria Foods Ltd. — Plan de Cuentas Contec → acc_reporting_account
# Versión: v2 (2026-08-19)
# Fuente: AC-04 evidence (OA-024-06-AC04-EVIDENCE.md) + Level 1 classifier
# Estado: PROPOSAL ONLY — no ejecutar en DB sin CFO approval
# ============================================================
#
# CAMPOS v2 (vs v1):
#   source_account_code      = código exacto si observado en AC-04 | prefijo si inferido
#   source_account_name      = nombre exacto observado | nombre inferido PCGA Chile
#   source_report            = Balance | EERR_Periodo | EERR_Acumulado | Balance+EERR
#   source_nature            = naturaleza Contec (solo EERR): INGRESOS | GASTOS DE ADM. Y VENTAS | GASTOS OPERACIONALES | EGRESOS NO OPERACIONALES
#   observed_balance         = saldo ESF observado (cols G/H) | UNKNOWN
#   observed_ytd_debit       = movimientos debe YTD (col C Balance) | UNKNOWN
#   observed_ytd_credit      = movimientos haber YTD (col D Balance) | UNKNOWN
#   observed_actual          = monto real EERR (col G) | UNKNOWN
#   observed_budget          = presupuesto EERR (col H) | UNKNOWN
#   cost_center_present      = YES (múltiples filas por CC) | NO | UNKNOWN
#   base_classification      = ESF | ERI
#   proposed_reporting_account_code = código acc_reporting_account
#   proposed_reporting_account_name = nombre completo
#   financial_statement      = ESF | ERI
#   confidence               = HIGH | MEDIUM | LOW
#   manual_review_required   = YES | NO
#   mapping_reason           = justificación del mapping
#   mapping_status           = AUTO_HIGH (listo para insertar) | REVIEW_MEDIUM | REVIEW_LOW | UNMAPPED
#
# mapping_status rules:
#   AUTO_HIGH  = código exacto observado AC-04 + confidence HIGH + no manual_review
#   REVIEW_MEDIUM = código observado + confidence MEDIUM, OR prefix-based + confidence HIGH
#   REVIEW_LOW = prefix-based + confidence MEDIUM, o requiere revisión cuenta a cuenta
#   UNMAPPED   = no clasificable con datos actuales
#
# EVIDENCIA:
#   AC04_OBSERVED = código exacto en archivos reales ALF (AC-04)
#   LEVEL1_CLASSIFIER = inferido por prefijo (cobertura total, exactitud parcial)
#   AC04_INFERRED = nombre/estructura observada en AC-04 pero código exacto no registrado
#
# ============================================================
# CUENTAS AC-04 OBSERVADAS (código exacto — 4 total)
# ============================================================
4.01.01.002,VENTA CEREZAS FRESCAS EXPORTACION,EERR_Periodo+EERR_Acumulado,INGRESOS,UNKNOWN,UNKNOWN,UNKNOWN,NON-ZERO,UNKNOWN,NO,ERI,ING,Ingresos de Actividades Ordinarias,ERI,HIGH,NO,"Código OBSERVADO AC-04 §3.1. Naturaleza Contec = INGRESOS / INGRESOS POR VENTA / VENTAS EXPORTACION. ALF exportadora FOB USD. Sin ambigüedad.",AUTO_HIGH
6.11.01.010,SUELDOS Y SALARIOS,EERR_Periodo+EERR_Acumulado,GASTOS DE ADM. Y VENTAS,UNKNOWN,UNKNOWN,UNKNOWN,NON-ZERO,UNKNOWN,YES,ERI,GOPEX,Gastos Operacionales,ERI,HIGH,NO,"Código OBSERVADO AC-04 §3.4. Clase = GASTOS DE PERSONAL. CC múltiple: ADMIN Y FINANZAS + OPERACIONES. Gasto operacional sin ambigüedad.",AUTO_HIGH
6.11.07.290,GASTOS BANCARIOS,EERR_Periodo+EERR_Acumulado,GASTOS DE ADM. Y VENTAS,UNKNOWN,UNKNOWN,UNKNOWN,NON-ZERO,UNKNOWN,YES,ERI,GOPEX,Gastos Operacionales,ERI,MEDIUM,YES,"Código OBSERVADO AC-04 §3.4. Naturaleza Contec = GASTOS DE ADM. Y VENTAS (no EGRESOS NO OP). Contec clasifica intereses bajo EGRESOS NO OP (8.xx) → la naturaleza aquí indica comisiones/mantención bancaria operativa. Recomendado GOPEX. Post-batch: verificar si el monto incluye intereses bancarios encadenados.",REVIEW_MEDIUM
6.11.07.310,SEGUROS,EERR_Periodo+EERR_Acumulado,GASTOS DE ADM. Y VENTAS,UNKNOWN,UNKNOWN,UNKNOWN,NON-ZERO,UNKNOWN,NO,ERI,GOPEX,Gastos Operacionales,ERI,HIGH,NO,"Código OBSERVADO AC-04 §3.4. Clase = GASTOS DE GESTION. CC = COMEX. Seguros exportación (carga marítima) = gasto operativo. Sin ambigüedad.",AUTO_HIGH
# ============================================================
# ESF TIER 1: ACTIVO CORRIENTE (1.01 – 1.09)
# Fuente: Balance Foods.xlsx cols G/H (inventario_activo/inventario_pasivo)
# ============================================================
1.01,Efectivo y equivalentes (Caja/Bancos),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,HIGH,NO,"1.01.xx = activo monetario corriente. Caja y bancos siempre ACT_C. Saldo en col G (inventario_activo) del Balance.",REVIEW_MEDIUM
1.02,Deudores comerciales (Clientes exportación FOB),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,HIGH,NO,"1.02.xx = cuentas por cobrar clientes. Corriente por ciclo operativo ALF (exportación = <12 meses).",REVIEW_MEDIUM
1.03,Existencias / Inventarios (fruta en tránsito),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,HIGH,NO,"1.03.xx = inventario corriente. ALF puede tener fruta en proceso/tránsito internacional.",REVIEW_MEDIUM
1.04,IVA crédito fiscal por recuperar,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,HIGH,NO,"1.04.xx = impuesto diferido corriente. IVA exportaciones Chile = recuperable (DGI Exportaciones).",REVIEW_MEDIUM
1.05,Gastos pagados por anticipado,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,MEDIUM,YES,"1.05.xx = prepagos. Plazo determina ACT_C vs ACT_NC. Por defecto ACT_C; revisar si plazo >12 meses.",REVIEW_MEDIUM
1.06,Activos biológicos corrientes (fruta en árbol),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,HIGH,NO,"1.06.xx = activo biológico corriente IAS 41. Cerezas en período de cosecha = corriente por definición.",REVIEW_MEDIUM
1.07,Préstamos a relacionadas corriente,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,MEDIUM,YES,"1.07.xx = intercompany corriente. ALF puede tener créditos a Allpa JV u otras del grupo.",REVIEW_MEDIUM
1.08,Documentos por cobrar corriente,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,MEDIUM,YES,"1.08.xx = documentos CP; notas por cobrar de clientes exportación.",REVIEW_MEDIUM
1.09,Otros activos corrientes,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_C,Activo Corriente,ESF,MEDIUM,YES,"1.09.xx = catch-all ACT_C. Revisar cuenta por cuenta post-batch.",REVIEW_MEDIUM
# ============================================================
# ESF TIER 2: ACTIVO NO CORRIENTE (1.10 – 1.99)
# ============================================================
1.10,Propiedades planta y equipo bruto,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,HIGH,NO,"1.10.xx = PP&E bruto. Activo no corriente por definición IAS 16.",REVIEW_MEDIUM
1.11,Depreciación acumulada PP&E (conta complementaria),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,HIGH,YES,"1.11.xx = depreciación acumulada. Cuenta acreedora complementaria → neteada en ACT_NC. Verificar que el parser no duplique el neto.",REVIEW_MEDIUM
1.12,Inversiones en entidades relacionadas (Allpa IAS 28),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,HIGH,YES,"1.12.xx = inversión método patrimonio IAS 28. ALF tiene posición en Allpa Peru (26% — ver CLAUDE.md). Confirmar que saldo es neto de participación.",REVIEW_MEDIUM
1.13,Activos biológicos no corrientes (huertos/viveros),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,HIGH,NO,"1.13.xx = activo biológico NC IAS 41. Huertos cereza productivos.",REVIEW_MEDIUM
1.14,Activos intangibles,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,MEDIUM,YES,"1.14.xx = intangibles; probable en ALF (marcas, contratos exclusividad).",REVIEW_MEDIUM
1.15,Activos por derecho de uso IFRS 16 (ROU),Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,MEDIUM,YES,"1.15.xx = ROU asset IFRS 16. AC-04 confirma 'amortización derecho de uso' en EERR → existe IFRS 16 en ALF.",REVIEW_MEDIUM
1.16,Otros activos no corrientes,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,ACT_NC,Activo No Corriente,ESF,MEDIUM,YES,"1.16.xx = catch-all ACT_NC. Revisar post-batch.",REVIEW_MEDIUM
# ============================================================
# ESF TIER 3: PASIVO CORRIENTE (2.01 – 2.09)
# ============================================================
2.01,Proveedores y cuentas por pagar comercial,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,PAS_C,Pasivo Corriente,ESF,HIGH,NO,"2.01.xx = AP corriente. Obligaciones comerciales < 12 meses.",REVIEW_MEDIUM
2.02,Remuneraciones y provisiones de personal por pagar,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,PAS_C,Pasivo Corriente,ESF,HIGH,NO,"2.02.xx = pasivo laboral corriente. EERR tiene GASTOS DE PERSONAL → provisión de sueldos.",REVIEW_MEDIUM
2.03,IVA débito fiscal por pagar,Balance,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NO,ESF,PAS_C,Pasivo Corriente,ESF,HIGH,NO,"2.03.xx = impuesto corriente IVA.",REVIEW_MEDIUM
